Title;Image;Description;Genre;Duration;Date
Nature and Us: A History through Art - Series 1: Episode 3;https://ichef.bbci.co.uk/images/ic/1200x675/p09z0p2w.jpg;James Fox explores our relationship with nature across the last hundred years.;arts;59 mins;9pm 25 Oct 2021
Blown;https://ichef.bbci.co.uk/images/ic/1200x675/p0b06cpg.jpg;A dance film by Corey Baker to coincide with COP26 and inspired by renewable energy.;arts;3 mins;25 Oct 2021
Ten Years of the SAY Award;https://ichef.bbci.co.uk/images/ic/1200x675/p08wv0jn.jpg;Exploring the impact of the Scottish Album of the Year Award.;arts;28 mins;10:45pm 30 Oct 2021
Changing Landscapes;https://ichef.bbci.co.uk/images/ic/1200x675/p0b1vwn4.jpg;Meditating on the care and carelessness we've brought to bear on Scotland's environment.;arts;58 mins;10:35pm 2 Nov 2021
Keith Jarrett: The Art of Improvisation;https://ichef.bbci.co.uk/images/ic/1200x675/p0b283cs.jpg;A fascinating portrait of Keith Jarrett, whose work straddles classical music and jazz.;arts;81 mins;9pm 12 Nov 2021
Truman and Tennessee: An Intimate Conversation;https://ichef.bbci.co.uk/images/ic/1200x675/p0b0y66h.jpg;Docudrama that creates a fascinating comparison of two iconic 20th-century writers.;arts;80 mins;9pm 7 Nov 2021
The Joy of Painting - Series 5: 26. Balmy Beach;https://ichef.bbci.co.uk/images/ic/1200x675/p0b222x6.jpg;Bob Ross invites you to walk along the shore, with soothing waves rolling in from the sea.;arts;26 mins;7:30pm 17 Nov 2021
Drama Shorts: BBC Introducing Arts;https://ichef.bbci.co.uk/images/ic/1200x675/p0b34vdy.jpg;Chizzy Akudolu presents new short films about secrets, love and family.;arts;59 mins;10:35pm 14 Nov 2021
Bridget Riley - Painting the Line;https://ichef.bbci.co.uk/images/ic/1200x675/p0b28ypg.jpg;A portrait of a true visionary and one of our greatest living painters.;arts;59 mins;9pm 19 Nov 2021
Lindisfarne’s Geordie Genius: The Alan Hull Story;https://ichef.bbci.co.uk/images/ic/1200x675/p0b3mp7j.jpg;Sam Fender traces the career of fellow Geordie music legend - Alan Hull of Lindisfarne.;arts;59 mins;9pm 26 Nov 2021
Meet You at the Hippos;https://ichef.bbci.co.uk/images/ic/1200x675/p0b3z2fb.jpg;Mark Bonnar explores the street sculpture of the Scottish new towns in which he grew up.;arts;58 mins;10pm 30 Nov 2021
100 Women in Conversation: Chimamanda Ngozi Adichie;https://ichef.bbci.co.uk/images/ic/1200x675/p0b6krmf.jpg;A special BBC 100 Women interview with author Chimamanda Ngozi Adichie.;arts;23 mins;27 Nov 2021
Animated Shorts: BBC Introducing Arts;https://ichef.bbci.co.uk/images/ic/1200x675/p0b70n69.jpg;Explore imagined and thought-provoking animated worlds with Elle Osili-Wood.;arts;58 mins;10:30pm 12 Dec 2021
Reel Stories - Sting;https://ichef.bbci.co.uk/images/ic/1200x675/p0b6ypxs.jpg;Sting joins Dermot O’Leary for an in-depth interview about his life and career.;arts;44 mins;9:25pm 11 Dec 2021
Between the Covers  - Series 3: Episode 6;https://ichef.bbci.co.uk/images/ic/1200x675/p0b6jlv2.jpg;Sara is joined by Greg James, Imogen Stubbs, Fleur East and Lloyd Griffith.;arts;29 mins;7pm 15 Dec 2021
Quentin Blake – The Drawing of My Life;https://ichef.bbci.co.uk/images/ic/1200x675/p0b8lzcy.jpg;The beloved illustrator and famous fans on Roald Dahl and other artistic adventures.;arts;59 mins;25 Dec 2021
The Big Scottish Book Club - Series 3: Episode 8;https://ichef.bbci.co.uk/images/ic/1200x675/p0b7sb5d.jpg;Damian Barr talks short stories with Bernard MacLaverty, Val McDermid and Kit de Waal.;arts;58 mins;10pm 19 Dec 2021
Daniel O’Donnell - The Boy from Donegal;https://ichef.bbci.co.uk/images/ic/1200x675/p0b9rbg6.jpg;Documentary marking Daniel O’Donnell’s 60th birthday, with access to his recent tours.;arts;59 mins;10:35pm 28 Dec 2021
This Is Joan Collins;https://ichef.bbci.co.uk/images/ic/1200x675/p0b9pshh.jpg;The Dynasty star narrates her rollercoaster life story.;arts;96 mins;1 Jan 2022
Sondheim – A Tribute from Andrew Lloyd Webber;https://ichef.bbci.co.uk/images/ic/1200x675/p0bct71x.jpg;Andrew Lloyd Webber pays tribute to Stephen Sondheim.;arts;2 mins;7pm 27 Dec 2021
The Band - Series 2: Episode 3;https://ichef.bbci.co.uk/images/ic/1200x675/p0bfr9s9.jpg;The Graham family from Rathfriland prepare for their band’s annual tractor run.;arts;28 mins;10:40pm 19 Jan 2022
The Royal Ballet: The Dante Project;https://ichef.bbci.co.uk/images/ic/1200x675/p0bj3r9h.jpg;Wayne McGregor’s ballet The Dante Project from the Royal Opera House.;arts;106 mins;9pm 23 Jan 2022
Art on the BBC - Series 2: 4. Turner - Light and Landscape;https://ichef.bbci.co.uk/images/ic/1200x675/p0bhqvf2.jpg;Leslie Primo explores the BBC archives to create a television history of JMW Turner.;arts;59 mins;9pm 24 Jan 2022
Survivors: Portraits of the Holocaust;https://ichef.bbci.co.uk/images/ic/1200x675/p0bj1x94.jpg;Following seven leading artists as they paint seven survivors of the Holocaust. ;arts;60 mins;9pm 27 Jan 2022
Branagh: bringing Belfast home;https://ichef.bbci.co.uk/images/ic/1200x675/p0bhph85.jpg;"Sir Kenneth Branagh is profiled as his Oscar-tipped new film Belfast is released here.
";arts;29 mins;10:35pm 25 Jan 2022
The Narrow Sea, The Farther Shore with Phil Cunningham - Series 1: Episode 2;https://ichef.bbci.co.uk/images/ic/1200x675/p0bjdj3t.jpg;Unique insights into musician and composer Phil Cunningham’s creative process.;arts;58 mins;10pm 30 Jan 2022
Pots, Paints and Plays with Gemma Bradley;https://ichef.bbci.co.uk/images/ic/1200x675/p0bkc6xq.jpg;Musician and broadcaster Gemma Bradley meets a variety of Mid Ulster artists.;arts;28 mins;10pm 3 Feb 2022
The Brontës: An Irish Tale;https://ichef.bbci.co.uk/images/ic/1200x675/p0bkcsyk.jpg;Actress Aoife Hinds explores the little-known Irish part of the Brontë story.;arts;29 mins;10:40pm 1 Feb 2022
Britain's Lost Masterpieces - Series 5: 3. Glasgow;https://ichef.bbci.co.uk/images/ic/1200x675/p0951zg6.jpg;Technical problems frustrate Bendor and Emma’s investigation of a 300-year-old portrait.;arts;59 mins;9pm 7 Feb 2022
Mary Beard's Forbidden Art - Series 1: 2. To See or Not to See?;https://ichef.bbci.co.uk/images/ic/1200x675/p0blyxtl.jpg;Mary Beard explores how art challenges us to confront ideas we’d rather not face up to.;arts;59 mins;10 Feb 2022
Emma Spence: The Art of Surviving;https://ichef.bbci.co.uk/images/ic/1200x675/p0blgf3n.jpg;A portrait of Emma Spence, whose art is shaped by her farming family and tragedy overcome.;arts;29 mins;10:40pm 8 Feb 2022
Flight;https://ichef.bbci.co.uk/images/ic/1200x675/p0bm0b7s.jpg;A child attempts to defy gravity, through the power of imagination and dance.;arts;7 mins;11:10pm 8 Feb 2022
This Cultural Life - Series 1: 8. Evelyn Glennie;https://ichef.bbci.co.uk/images/ic/1200x675/p0bn44y9.jpg;Renowned solo percussionist Evelyn Glennie talks about the key influences on her art.;arts;29 mins;7:30pm 13 Feb 2022
Arena - The Most Beautiful Boy in the World;https://ichef.bbci.co.uk/images/ic/1200x675/p0bnfrng.jpg;What price fame? The story of the boy chosen to play Tadzio in 1971's Death in Venice.;arts;91 mins;9pm 13 Feb 2022
The Film Review - Dog, Old Henry, Here Before;https://ichef.bbci.co.uk/images/ic/1200x675/p02kh4jx.jpg;Mark Kermode joins Jane Hill to discuss Dog, Old Henry, Here Before and more. ;arts;12 mins;5:45pm 18 Feb 2022
Dance: BBC Introducing Arts;https://ichef.bbci.co.uk/images/ic/1200x675/p0bncgl5.jpg;Brenda Emmanus presents short films that combine powerful storytelling with dance.;arts;59 mins;10pm 20 Feb 2022
Dance Passion - 2022: Highlights;https://ichef.bbci.co.uk/images/ic/1200x675/p0bnmrw9.jpg;Josie d’Arby and Karim Zeroual present highlights from Dance Passion 2022.;arts;59 mins;8pm 20 Feb 2022
Firestarter: The Story of Bangarra;https://ichef.bbci.co.uk/images/ic/1200x675/p0bnfjkz.jpg;How an Indigenous Australian dance group became a cultural powerhouse.;arts;58 mins;9pm 20 Feb 2022
Britain's Best Young Artist - Series 1: 13. The Final;https://ichef.bbci.co.uk/images/ic/1200x675/p0bnd39l.jpg;It’s the final, and the artists must make a stunning piece that celebrates home.;arts;28 mins;6:30pm 24 Feb 2022
imagine... - 2022: Wayne McGregor: Dancing on the Edge;https://ichef.bbci.co.uk/images/ic/1200x675/p0bpfgrp.jpg;Alan Yentob profiles Wayne McGregor, the resident choreographer at the Royal Ballet.;arts;82 mins;10:40pm 21 Feb 2022
Loop - TV - Series 4: Episode 1;https://ichef.bbci.co.uk/images/ic/1200x675/p0bngh1z.jpg;Libertines frontman Peter Doherty shares his thoughts on art as a form of rehabilitation.;arts;28 mins;11:30pm 24 Feb 2022
Artists on Film: Scenes from Working Lives - Episode 5;https://ichef.bbci.co.uk/images/ic/1200x675/p025lzqd.jpg;A focus on abstract artists, including William Hayter and Patrick Heron.;arts;30 mins;7 Jul 1988
Rossetti - Sex, Drugs and Oil Paint;https://ichef.bbci.co.uk/images/ic/1200x675/p02tgnlf.jpg;Andrew Graham-Dixon considers the work of Dante Gabriel Rossetti. (2003);arts;29 mins;3 Nov 2003
Augustus and Gwen: The Fire and the Fountain;https://ichef.bbci.co.uk/images/ic/1200x675/p02tgn6z.jpg;The story of Augustus John and his sister Gwen. (1975);arts;50 mins;19 Mar 1975
The Devil's Music - Series 2: Episode 4;https://ichef.bbci.co.uk/images/ic/1200x675/p01m7rld.jpg;Alexis Korner looks at contemporary Chicago Blues music. (1979);arts;25 mins;30 Jul 1979
Intimations - 10. John le Carre;https://ichef.bbci.co.uk/images/ic/1200x675/p091d3c9.jpg;John le Carre talks about his writing and the main influences on his work. (1966);arts;30 mins;8 Feb 1966
Daphne Du Maurier;https://ichef.bbci.co.uk/images/ic/1200x675/p025xqpf.jpg;Author Daphne du Maurier is interviewed in her Cornwall home by Wilfred De'Ath. (1971);arts;50 mins;31 Aug 1971
The Late Show - Face to Face: Lauren Bacall;https://ichef.bbci.co.uk/images/ic/1200x675/p01hd66x.jpg;Jeremy Isaacs talks to the Hollywood legend Lauren Bacall. (1995);arts;39 mins;20 Mar 1995
I Love This Dirty Town;https://ichef.bbci.co.uk/images/ic/1200x675/p01hh81r.jpg;Margaret Drabble investigates the problems of town planning and traffic. (1969);arts;49 mins;4 Jan 1969
Three Swings on a Pendulum;https://ichef.bbci.co.uk/images/ic/1200x675/p01hh8y2.jpg;Investigating the so-called 'swinging London' of the 1960s. (1967);arts;47 mins;8 Jun 1967
Contrasts - Marble Arch to Edgware;https://ichef.bbci.co.uk/images/ic/1200x675/p01hgsh0.jpg;John Betjeman takes a journey from Marble Arch to Edgware. (1968);arts;27 mins;31 Jan 1968
Barbara Hepworth;https://ichef.bbci.co.uk/images/ic/1200x675/p025lz2c.jpg;A look at how Cornish landscapes have influenced sculptor Barbara Hepworth's work. (1961);arts;29 mins;17 Sep 1961
