content_id,activity,attribute_link,attribute_value,user_id,datetime
15415,select content,Next episode,15414,1,2022-04-04 20:40:14.497009
15415,unload content,,,1,2022-04-04 20:40:15.622838
15416,select content,Next episode,15415,1,2022-04-04 20:40:15.630185
15416,unload content,,,1,2022-04-04 20:40:20.170209
15414,select content,Select episode,15416,1,2022-04-04 20:40:20.173380
15414,unload content,,,1,2022-04-04 20:40:23.281696
26305,select content,Genre,entertainment,1,2022-04-04 20:40:26.442137
26305,unload content,,,1,2022-04-04 20:40:41.867821
,open profile,,,1,2022-04-04 20:40:43.661420
,update account,,,1,2022-04-04 20:40:49.336882
,close profile,,,1,2022-04-04 20:40:51.328107
33822,select content,Top news,,1,2022-04-04 20:40:55.502260
33822,unload content,,,1,2022-04-04 20:41:03.772070
33825,select content,Select episode,33822,1,2022-04-04 20:41:03.774919
33825,unload content,,,1,2022-04-04 20:41:11.671122
33904,select content,Same genre,news,1,2022-04-04 20:41:11.674161
33904,unload content,,,1,2022-04-04 20:41:16.656216
10532,select content,Similar to,33904,1,2022-04-04 20:41:16.660897
10532,unload content,,,1,2022-04-04 20:41:21.641255
10534,select content,Select season,10532,1,2022-04-04 20:41:21.644544
10534,unload content,,,1,2022-04-04 20:41:27.866156
10536,select content,Select episode,10534,1,2022-04-04 20:41:27.869280
10536,unload content,,,1,2022-04-04 20:41:36.108410
,search,,Dance,1,2022-04-04 20:41:40.885031
25924,select content,Description search,Dance,1,2022-04-04 20:41:49.557779
25924,unload content,,,1,2022-04-04 20:42:11.349327
26126,select content,Similar to,25924,1,2022-04-04 20:42:11.351546
26126,unload content,,,1,2022-04-04 20:42:24.733239
,open profile,,,1,2022-04-04 20:42:30.537714
,logout,,,1,2022-04-04 20:42:31.827765
,login,,,1,2022-04-04 20:42:37.053427
28794,select content,Title search,Dance,1,2022-04-04 20:43:24.817396
,open profile,,,1,2022-04-04 20:43:26.265858
28794,unload content,,,1,2022-04-04 20:43:27.296690
,logout,,,1,2022-04-04 20:43:27.299258
,login,,,1,2022-04-04 20:43:33.033208
13947,select content,Genre,comedy,1,2022-04-04 20:43:36.401898
,open profile,,,1,2022-04-04 20:43:37.606579
,close profile,,,1,2022-04-04 20:43:39.426630
13947,unload content,,,1,2022-04-04 20:43:41.801107
,search,,Test,1,2022-04-04 20:43:41.808207
,open profile,,,1,2022-04-04 20:43:43.108576
,logout,,,1,2022-04-04 20:43:46.769207
,login,,,1,2022-04-04 20:43:51.769021
,open profile,,,1,2022-04-04 20:46:05.120203
,logout,,,1,2022-04-04 20:46:07.620445
,login,,,1,2022-04-04 20:46:17.168692
,open profile,,,1,2022-04-04 20:46:19.912486
,close profile,,,1,2022-04-04 20:46:21.405587
,search,,Dance,1,2022-04-04 20:46:24.741810
11868,select content,Title search,Dance,1,2022-04-04 20:46:28.751171
,open profile,,,1,2022-04-04 20:46:30.784159
11868,unload content,,,1,2022-04-04 20:46:31.724220
,logout,,,1,2022-04-04 20:46:31.728157
,login,,,1,2022-04-04 20:46:44.356121
15394,select content,Genre,comedy,1,2022-04-04 20:47:47.154321
15394,unload content,,,1,2022-04-04 20:48:05.518776
,search,,Dance,1,2022-04-04 20:48:09.226027
,login,,,1,2022-04-05 13:13:13.222158
33327,select content,Top news,,1,2022-04-05 13:13:28.717218
33327,unload content,,,1,2022-04-05 13:14:20.779936
,search,,Dance,1,2022-04-05 13:16:37.850613
11868,select content,Title search,Dance,1,2022-04-05 13:16:41.343278
11868,unload content,,,1,2022-04-05 13:16:55.044463
28794,select content,Title search,Dance,1,2022-04-05 13:16:57.864425
28794,unload content,,,1,2022-04-05 13:17:01.399538
25468,select content,Genre,entertainment,1,2022-04-05 13:17:07.455690
25468,unload content,,,1,2022-04-05 13:17:11.394040
25482,select content,Select season,25468,1,2022-04-05 13:17:11.394818
25482,unload content,,,1,2022-04-05 13:17:20.928173
25483,select content,Next episode,25482,1,2022-04-05 13:17:20.928825
25483,unload content,,,1,2022-04-05 13:17:32.665686
15246,select content,Genre,comedy,1,2022-04-05 13:18:38.726133
15246,unload content,,,1,2022-04-05 13:18:50.206268
,search,,Danc,1,2022-04-05 13:20:57.484736
,search,,Dance,1,2022-04-05 13:22:01.422072
26516,select content,Description search,Dance,1,2022-04-05 13:22:09.227154
26516,unload content,,,1,2022-04-05 13:22:13.380157
26313,select content,Same genre,entertainment,1,2022-04-05 13:22:13.380810
26313,unload content,,,1,2022-04-05 13:22:15.094097
,open profile,,,1,2022-04-05 13:22:19.672092
,logout,,,1,2022-04-05 13:22:20.872062
,login,,,1,2022-04-05 13:37:22.834997
15306,select content,Genre,comedy,1,2022-04-05 13:37:29.441479
15306,unload content,,,1,2022-04-05 13:37:44.394271
17930,select content,Similar to,15306,1,2022-04-05 13:37:44.394799
17930,unload content,,,1,2022-04-05 13:37:47.597878
7579,select content,Similar to,17930,1,2022-04-05 13:37:47.598577
7579,unload content,,,1,2022-04-05 13:37:50.734699
7580,select content,Select season,7579,1,2022-04-05 13:37:50.735863
7580,unload content,,,1,2022-04-05 13:37:55.457215
,search,,test,1,2022-04-05 13:37:59.945240
30540,select content,Title search,test,1,2022-04-05 13:38:08.726093
30540,unload content,,,1,2022-04-05 13:38:19.877383
,open profile,,,1,2022-04-05 13:38:43.325567
,update account,,,1,2022-04-05 13:38:57.332690
,close profile,,,1,2022-04-05 13:38:59.582614
14284,unload content,,,1,2022-04-05 13:39:00.643373
,open profile,,,1,2022-04-05 13:39:09.953608
,close profile,,,1,2022-04-05 13:39:17.982282
,open profile,,,1,2022-04-05 13:39:29.290656
,logout,,,1,2022-04-05 13:39:49.290159
,login,,,1,2022-04-05 13:43:56.961291
14882,select content,Genre,comedy,1,2022-04-05 13:43:58.794571
14882,unload content,,,1,2022-04-05 13:44:09.260209
28457,select content,Similar to,14882,1,2022-04-05 13:44:09.261128
28457,unload content,,,1,2022-04-05 13:45:39.815823
,search,,1984,1,2022-04-05 13:47:21.371616
,search,,big brother,1,2022-04-05 13:47:30.589953
,open profile,,,1,2022-04-05 13:49:20.759413
,close profile,,,1,2022-04-05 13:51:11.236139
,open profile,,,1,2022-04-05 13:52:18.260563
,logout,,,1,2022-04-05 13:52:19.177432
,create account,,,6,2022-04-05 13:55:19.109138
,login,,,6,2022-04-05 13:55:19.110407
,open profile,,,6,2022-04-05 13:55:23.788555
,logout,,,6,2022-04-05 13:55:24.617002
,create account,,,7,2022-04-05 13:55:52.135391
,login,,,7,2022-04-05 13:55:52.136324
,open profile,,,7,2022-04-05 13:56:28.434225
,logout,,,7,2022-04-05 13:56:31.854657
,create account,,,8,2022-04-05 13:56:52.521427
,login,,,8,2022-04-05 13:56:52.523137
,open profile,,,8,2022-04-05 13:58:48.222142
,logout,,,8,2022-04-05 14:01:05.364678
,login,,,16,2022-04-05 14:01:11.326212
,open profile,,,16,2022-04-05 14:01:13.517084
,close profile,,,16,2022-04-05 14:01:25.944436
